id,from_id,to_id,type,doc_id
686,8215,8216,date-event,262
688,4627,8219,date-event,262
690,4628,8220,date-event2,262
691,4629,8222,date-event,262
718,4626,8218,date-event,262
719,4628,8264,date-event,262
731,4625,8272,date-event,262
696,4640,8233,date-event,267
697,4641,8234,date-event,267
698,4646,8235,date-event,267
699,4647,8236,date-event,267
702,4876,8242,date-event,271
703,4877,8244,date-event,271
705,4880,8245,date-event,271
707,4881,8248,date-event2,271
722,4875,8266,date-event2,271
727,4874,8241,date-event,271
728,4878,8243,date-event,271
729,4879,8246,date-event,271
732,4881,8274,date-event,271
1215,4875,10061,date-event,271
708,4897,8253,date-event,259
711,4894,8251,date-event,259
712,4898,8255,date-event,259
1216,4896,10062,date-event,259
713,4952,8259,date-event,269
714,4951,8258,date-event,269
716,4958,8261,date-event,269
723,4956,8267,date-event,269
