id,label,start,end,text,doc_id,event,event_ids,start_event,end_event
4968,c: besluit datum,188,205,13 september 2022,259,Datum,[5264],[182],[187]
4970,c: verzoek datum,373,389,19 november 2021,259,"heeft u het ministerie van Landbouw, Natuur en Voedselkwaliteit gevraagd Bijlage(n) informatie openbaar te maken",[5266],[431],[543]
4971,c: verzoek ontvangen,413,429,19 november 2021,259,ontvangen,[5265],[400],[409]
4972,c: ontvangst verzoek bevestigd,621,637,30 november 2021,259,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,[5267],[638],[705]
4975,c: besluit datum,128,140,30 juni 2022,269,D atum,[5271],[121],[127]
4976,c: verzoek datum,242,255,11 april 2022,269,"heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht",[5272],[257],[350]
4980,c: ontvangst verzoek bevestigd,521,534,15 april 2022,269,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8271],[456],[516]
4982,c: inwerking treden van Woo,636,646,1 mei 2022,269,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[5275],[646],[713]
4992,c: besluit datum,113,129,23 augustus 2022,262,Verzonden op,[5281],[100],[112]
4994,c: verzoek datum,197,208,11 mei 2022,262,heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken,[5282],[210],[316]
4995,c: ontvangst verzoek bevestigd,393,404,11 mei 2022,262,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,[5283],[405],[472]
4996,c: overig,480,491,8 juni 2022,262,heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt,[5284],[492],[569]
4997,c: contact,602,613,1 juli 2022,262,Over dit verzoek heeft u contact gehad,"[5288, 5287]","[574, 614]","[598, 627]"
4998,c: inwerking treden van Woo,705,715,1 mei 2022,262,is echter de Woo inwerking getreden en is de Wob ingetrokken,[5289],[716],[776]
5009,c: besluit datum,131,142,8 juli 2022,271,Datum,[5292],[125],[130]
5010,c: verzoek datum,164,176,5 april 2022,271,heeft met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht,"[8270, 5294]","[155, 214]","[160, 300]"
5011,c: verzoek ontvangen,200,212,6 april 2022,271,ontvangen,[5293],[187],[196]
5012,c: overig,377,389,2 maart 2022,271,verordening die de Raad van Europa publiceerde,"[7797, 7798]","[339, 390]","[373, 401]"
5013,c: ontvangst verzoek bevestigd,583,593,4 mei 2022,271,ontvangst van uw verzoek is per e-mailbericht bevestigd,[5297],[524],[579]
