id,label,start,end,text,doc_id,label_is_wrong,has_event,right_label
4967,DATE+,84,92,379 8911,259,0.0,0.0,
4969,DATE+,253,269,19 november 2021,259,0.0,0.0,
4973,DATE+,747,762,14 januari 2022,259,0.0,0.0,
4974,DATE+,798,822,downloadlink zeven dagen,259,0.0,0.0,
4977,DATE+,385,389,2013,269,0.0,0.0,
4978,DATE+,391,395,2014,269,0.0,0.0,
4979,DATE+,399,403,2017,269,0.0,0.0,
4981,DATE+,601,612,23 mei 2022,269,0.0,0.0,
4983,DATE+,798,810,30 juni 2022,269,0.0,0.0,
4984,DATE+,1042,1054,30 juni 2022,269,0.0,0.0,
4985,DATE+,1149,1161,30 juni 2022,269,0.0,0.0,
4986,DATE+,1307,1319,30 juni 2022,269,0.0,0.0,
4987,DATE+,2295,2307,30 juni 2022,269,0.0,0.0,
4988,DATE+,2354,2358,2013,269,0.0,0.0,
4989,DATE+,2360,2364,2014,269,0.0,0.0,
4990,DATE+,2368,2372,2017,269,0.0,0.0,
4991,DATE+,88,95,22-0359,262,0.0,0.0,
4993,DATE+,166,173,22-0359,262,0.0,0.0,
4999,DATE+,855,862,22-0359,262,0.0,0.0,
5000,DATE+,1014,1021,22-0359,262,0.0,0.0,
5001,DATE+,1228,1235,22-0359,262,0.0,0.0,
5002,DATE+,1321,1337,16 februari 2011,262,0.0,0.0,
5003,DATE+,1692,1707,2 februari 2022,262,0.0,0.0,
5004,DATE+,2142,2149,22-0359,262,0.0,0.0,
5005,DATE+,2267,2274,22-0359,262,0.0,0.0,
5006,DATE+,2428,2440,1 april 2008,262,0.0,0.0,
5007,DATE+,2586,2593,22-0359,262,0.0,0.0,
5008,DATE+,2894,2901,22-0359,262,0.0,0.0,
5017,DATE+,872,885,10 maart 2022,271,0.0,0.0,
5018,DATE+,994,1002,28/02/22,271,0.0,0.0,
5019,DATE+,1158,1164,morgen,271,0.0,0.0,
5020,DATE+,1374,1382,28/02/22,271,0.0,0.0,
5021,DATE+,1675,1683,28/02/22,271,0.0,0.0,
5022,DATE+,1754,1762,27/02/22,271,0.0,0.0,
5023,DATE+,2214,2222,28/02/22,271,0.0,0.0,
5024,DATE+,2335,2343,01/03/22,271,0.0,0.0,
5025,DATE+,2363,2367,28/2,271,0.0,0.0,
5026,DATE+,2432,2439,2 maart,271,0.0,0.0,
5027,DATE+,2465,2469,2022,271,0.0,0.0,
5030,DATE+,428,432,2003,267,0.0,0.0,
5031,DATE+,444,448,2022,267,0.0,0.0,
5032,DATE+,652,660,mei 2003,267,0.0,0.0,
5033,DATE+,672,676,2022,267,0.0,0.0,
5036,DATE+,977,988,13 mei 2022,267,0.0,0.0,
5037,DATE+,1104,1115,13 mei 2022,267,0.0,0.0,
5038,DATE+,1180,1191,13 mei 2022,267,0.0,0.0,
5039,DATE+,1305,1316,13 mei 2022,267,0.0,0.0,
5040,DATE+,1406,1417,13 mei 2022,267,0.0,0.0,
5041,DATE+,1814,1825,13 mei 2022,267,0.0,0.0,
5042,DATE+,2584,2595,13 mei 2022,267,0.0,0.0,
5043,DATE+,2989,3000,13 mei 2022,267,0.0,0.0,
5044,DATE+,3133,3144,13 mei 2022,267,0.0,0.0,
5045,DATE+,3350,3356,9 9551,267,0.0,0.0,
5046,DATE+,3397,3405,1-jan-03,267,0.0,0.0,
5047,DATE+,3415,3427,165 1-feb-03,267,0.0,0.0,
5048,DATE+,3573,3581,1-sep-03,267,0.0,0.0,
5049,DATE+,3683,3691,1-feb-04,267,0.0,0.0,
5050,DATE+,3793,3801,1-jul-04,267,0.0,0.0,
5051,DATE+,3811,3823,200 1-aug-04,267,0.0,0.0,
5052,DATE+,4075,4087,208 1-aug-05,267,0.0,0.0,
5053,DATE+,4298,4306,1-jun-06,267,0.0,0.0,
5054,DATE+,4426,4438,203 1-dec-06,267,0.0,0.0,
5055,DATE+,4778,4790,215 1-apr-08,267,0.0,0.0,
5056,DATE+,4954,4966,230 1-dec-08,267,0.0,0.0,
5057,DATE+,5437,5449,229 1-okt-10,267,0.0,0.0,
5058,DATE+,5947,5955,1-sep-12,267,0.0,0.0,
5059,DATE+,6075,6087,215 1-mrt-13,267,0.0,0.0,
5060,DATE+,6294,6306,225 1-jan-14,267,0.0,0.0,
5061,DATE+,6822,6834,251 1-jan-16,267,0.0,0.0,
5062,DATE+,6958,6966,1-jul-16,267,0.0,0.0,
5063,DATE+,6976,6988,227 1-aug-16,267,0.0,0.0,
5064,DATE+,7046,7054,1-nov-16,267,0.0,0.0,
5065,DATE+,7068,7076,1-dec-16,267,0.0,0.0,
5066,DATE+,7152,7164,227 1-apr-17,267,0.0,0.0,
5067,DATE+,7349,7361,221 1-jan-18,267,0.0,0.0,
5068,DATE+,7599,7607,1-apr-21,267,0.0,0.0,
5069,DATE+,7616,7624,1-mei-21,267,0.0,0.0,
5070,DATE+,7684,7692,1-sep-21,267,0.0,0.0,
5071,DATE+,7735,7743,1-dec-21,267,0.0,0.0,
5072,DATE+,7980,7986,9 9551,267,0.0,0.0,
5073,DATE+,8030,8034,2003,267,0.0,0.0,
5074,DATE+,8079,8083,2003,267,0.0,0.0,
5075,DATE+,8130,8134,2003,267,0.0,0.0,
5076,DATE+,8196,8200,2003,267,0.0,0.0,
5077,DATE+,8231,8237,1 JAAR,267,0.0,0.0,
5078,DATE+,8250,8254,2003,267,0.0,0.0,
5079,DATE+,8285,8291,1 JAAR,267,0.0,0.0,
5080,DATE+,8306,8310,2003,267,0.0,0.0,
5081,DATE+,8339,8347,120 2003,267,0.0,0.0,
5082,DATE+,8371,8379,207 2004,267,0.0,0.0,
5083,DATE+,8424,8428,2004,267,0.0,0.0,
5084,DATE+,8475,8479,2004,267,0.0,0.0,
5085,DATE+,8541,8545,2004,267,0.0,0.0,
5086,DATE+,8576,8582,1 JAAR,267,0.0,0.0,
5087,DATE+,8595,8599,2004,267,0.0,0.0,
