id,from_id,to_id,type,doc_id
350,4975,5271,date-event,269
351,4976,5272,date-event,269
356,4982,5275,date-event,269
730,4980,8271,date-event,269
360,4992,5281,date-event,262
362,4994,5282,date-event,262
363,4995,5283,date-event,262
364,4996,5284,date-event,262
366,4997,5287,date-event2,262
367,4998,5289,date-event,262
1249,4997,10718,date-event,262
368,5009,5292,date-event,271
370,5010,5294,date-event2,271
371,5011,5293,date-event,271
372,5013,5297,date-event,271
373,5014,5298,date-event,271
374,5015,5299,date-event,271
375,5016,5300,date-event,271
408,5012,7797,date-event,271
409,5012,7798,date-event2,271
725,5010,8270,date-event,271
376,5028,5304,date-event,267
377,5029,5305,date-event,267
383,5035,5309,date-event,267
721,5034,8265,date-event,267
385,5311,7761,date-event,74
386,5312,7762,date-event,74
410,5310,7799,date-event,74
392,7772,7773,date-event,25
393,5466,7772,false-date,25
394,5467,7772,false-date,25
395,5468,7774,date-event,25
733,5471,8276,date-event,25
399,5497,7780,date-event,81
400,5498,7782,date-event,81
734,5499,8278,date-event,81
402,5512,7790,date-event,101
403,5513,7791,date-event,101
404,5514,7792,date-event,101
405,5515,7794,date-event,101
735,5516,8279,date-event,101
411,5518,7803,date-event,65
414,5521,7806,date-event,65
415,5522,7807,date-event,65
418,5524,7810,date-event,65
419,5525,7811,date-event,65
420,5525,7812,date-event2,65
792,5517,8349,date-event,65
1294,5523,10772,date-event,65
1295,5523,10773,date-event2,65
421,5526,7816,date-event,50
422,5527,7817,date-event,50
736,5528,8280,date-event,50
1270,5529,10741,date-event,50
425,5531,7823,date-event,57
427,5534,7826,date-event,57
428,5533,7824,date-event,57
429,5539,7828,date-event,57
430,5540,7829,date-event,57
1204,5538,7827,date-event,57
1269,5545,10740,date-event,57
432,5550,7833,date-event,59
433,5551,7835,date-event,59
434,5552,7834,date-event,59
435,5555,7836,date-event,59
436,5556,7837,date-event,59
437,5559,7841,date-event,59
438,5560,7838,date-event,59
439,5562,7839,date-event,59
440,5563,7840,date-event,59
441,5567,7845,date-event,93
442,5568,7846,date-event,93
443,5570,7849,date-event,93
444,5569,7848,date-event,93
445,5572,7850,date-event,93
455,5599,7865,date-event,102
458,5601,7868,date-event,102
459,5602,7867,date-event,102
460,5604,7871,date-event,102
1268,5606,10739,date-event,102
462,5763,7877,date-event,105
463,5764,7878,date-event,105
464,5765,7879,date-event,105
466,5767,7881,date-event,105
467,5768,7882,date-event,105
