id,from_id,to_id,type,doc_id
350,4975,5271,date-event,269
351,4976,5272,date-event,269
356,4982,5275,date-event,269
730,4980,8271,date-event,269
360,4992,5281,date-event,262
362,4994,5282,date-event,262
363,4995,5283,date-event,262
364,4996,5284,date-event,262
366,4997,5287,date-event2,262
367,4998,5289,date-event,262
1249,4997,10718,date-event,262
368,5009,5292,date-event,271
370,5010,5294,date-event2,271
371,5011,5293,date-event,271
372,5013,5297,date-event,271
373,5014,5298,date-event,271
374,5015,5299,date-event,271
375,5016,5300,date-event,271
408,5012,7797,date-event,271
409,5012,7798,date-event2,271
725,5010,8270,date-event,271
376,5028,5304,date-event,267
377,5029,5305,date-event,267
383,5035,5309,date-event,267
721,5034,8265,date-event,267
385,5311,7761,date-event,74
386,5312,7762,date-event,74
410,5310,7799,date-event,74
392,7772,7773,date-event,25
393,5466,7772,false-date,25
394,5467,7772,false-date,25
395,5468,7774,date-event,25
733,5471,8276,date-event,25
402,5512,7790,date-event,101
403,5513,7791,date-event,101
404,5514,7792,date-event,101
405,5515,7794,date-event,101
735,5516,8279,date-event,101
421,5526,7816,date-event,50
422,5527,7817,date-event,50
736,5528,8280,date-event,50
1270,5529,10741,date-event,50
462,5763,7877,date-event,105
463,5764,7878,date-event,105
464,5765,7879,date-event,105
466,5767,7881,date-event,105
467,5768,7882,date-event,105
1267,5766,10738,date-event,105
468,5773,7885,date-event,34
469,5774,7886,date-event,34
470,5778,7888,date-event,34
471,5777,7887,date-event,34
472,5782,7891,date-event,87
474,5784,7892,date-event,87
477,5787,7895,date-event,87
478,5787,7896,date-event2,87
481,5788,7898,date-event2,87
482,5788,7897,date-event,87
483,5789,7899,date-event,87
484,5789,7900,date-event2,87
485,5790,7901,date-event,87
486,5791,7902,date-event,87
487,5793,7903,date-event,87
488,7904,7905,date-event,87
489,5794,7904,false-date,87
737,5783,8281,date-event,87
490,5850,7918,date-event,45
491,5851,7920,date-event,45
492,5852,7919,date-event,45
496,5856,7922,date-event,45
497,5857,7923,date-event,45
793,5859,7927,date-event,85
794,5860,7928,date-event,85
795,5860,7929,date-event2,85
798,5875,7932,date-event,85
799,5877,7933,date-event,85
511,6008,7956,date-event,113
512,6009,7957,date-event,113
513,6013,7958,date-event,113
739,6011,8284,date-event,113
539,6074,7987,date-event,18
540,6075,7988,date-event,18
541,6076,7989,date-event,18
542,6076,7990,date-event,18
543,6078,7992,date-event,18
