doc_id,right_label,start,end,parts,sentence,start_parts,end_parts
37.0,20 juni 2022,171.0,178.0,['20 juni'],Den Haag 2500 EX Contactpersoon Woo-verzoeken-artikel4.1@minienw.nl Datum 20 juni 2022 Kenmerk,[171],[178]
40.0,4 oktober 2022,75.0,84.0,['4 oktober'],IENW/BSK-2022/222343 Datum 4 oktober 2022,[75],[84]
80.0,7 en 9 september 2022,634.0,650.0,['9 september 2022'],Over uw verzoek is op 7 en 9 september 2022 contact geweest per e-mail.,[634],[650]
80.0,7 februari 2018,1174.0,1184.0,['7 februari'],Deze fundering van de verplichte ouderbijdrage is later ook bevestigd in een rechterlijke uitspraak van 7 februari 2018.1 Plaatsing op Internet Dit besluit en de geanonimiseerde nota worden op www.rijksoverheid.nl gepubliceerd.,[1174],[1184]
10.0,12 februari 2020 respectievelijk 19 januari 2021,291.0,339.0,"['12 februari 2020', '19 januari 2021']",", In uw e-mails van 12 februari 2020 en 19 januari 2021, ontvangen op 12 februari 2020 respectievelijk 19 januari 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over dierenwelzijnsinspecties bij Nederlands stallen met vleeskalveren.","[291, 324]","[307, 339]"
10.0,5 maart 2020 en 15 februari 2021,787.0,819.0,"['5 maart 2020', '15 februari 2021']","De ontvangst van uw verzoek is schriftelijk bevestigd bij brieven van 5 maart 2020 en 15 februari 2021, met referenties 20-0132 en 21-0038.","[787, 803]","[799, 819]"
10.0,12 februari 2020 en 19 januari 2021,241.0,276.0,"['12 februari 2020', '19 januari 2021']",", In uw e-mails van 12 februari 2020 en 19 januari 2021, ontvangen op 12 februari 2020 respectievelijk 19 januari 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over dierenwelzijnsinspecties bij Nederlands stallen met vleeskalveren.","[241, 261]","[257, 276]"
41.0,"maanden maart, juni en juli",1474.0,1487.0,['maanden maart'],"In de maanden maart, juni en juli zijn er meerdere telefonische contactmomenten met u geweest over de stand van zaken en voortgang van de behandeling van uw Wob-verzoek.",[1474],[1487]
41.0,periode vanaf 16 september 2021,1661.0,1678.0,['16 september 2021'],"In de periode vanaf 16 september 2021 bent u door een medewerker van het kerndepartement zowel telefonisch als via e-mail meerdere malen op de hoogte gehouden van de stand van zaken omtrent de behandeling van uw verzoek bij het kerndepartement, Rijkswaterstaat en de ILT.",[1661],[1678]
6.0,17 december jl en op 25 januari jl,1588.0,1619.0,"['17 december', '25 januari']",Op 17 december jl en op 25 januari jl heeft u met de heer Hindriks gesproken over de voortgang van de afhandeling van uw verzoek.,"[1588, 1609]","[1599, 1619]"
6.0,18 januari jl en op 14 februari jl,1733.0,1764.0,"['18 januari', '14 februari']",Ook heeft u op 18 januari jl en op 14 februari jl per e-mail een update over de voortgang ontvangen.,"[1733, 1753]","[1743, 1764]"
6.0,10 december jl,1190.0,1201.0,['10 december'],Deze afspraak is bevestigd per e-mail op 10 december jl.,[1190],[1201]
6.0,donderdag 25 november jl,932.0,953.0,['donderdag 25 november'],"U heeft op donderdag 25 november jl., gesproken met de heer Hans Hindriks van het ministerie van Economische Zaken en Klimaat (hierna: ministerie van EZK) over de reikwijdte van uw verzoek en de voortgang van de afhandeling.",[932],[953]
109.0,29 maart jl,950.0,958.0,['29 maart'],"Op 29 maart jl heeft een medewerker van mijn ministerie, 10.2.e , u gemaild over de voortgang van uw WOB verzoek.",[950],[958]
144.0,2 juni 2022,113.0,124.0,"['2 juni', '2022']",Zaken Datum 2 juni 2022,"[113, 120]","[119, 124]"
155.0,29 april 2022,123.0,136.0,"['29 april', '2022']",Datum 29 april 2022,"[123, 132]","[131, 136]"
180.0,29 en 30 september,355.0,367.0,['30 september'],Deze overleggen hebben op 29 en 30 september plaatsgevonden.,[355],[367]
