id,label,start,end,text,doc_id,sentence,event,event_ids,start_event,end_event,class,complete_date,ISO_date
5497,c: besluit datum,129,146,22 september 2022,81,Woo-unit@rvo.nl Datum 22 september 2022,Datum,[7780],[123],[128],besluit datum,22 september 2022,2022-09-22
5498,c: verzoek datum,169,185,12 augustus 2022,81,"heer/mevrouw, Op 12 augustus 2022 heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht om alle interne en externe correspondentie en documenten over de vaststelling van de fosfaatrechten en de referentiedatum in het kader van zowel het fosfaatreductieplan als voor de vaststelling van het aantal fosfaatrechten voor uw cliënt en zijn rechtsvoorganger, zowel voorafgaand aan als tijdens de procedure met het kenmerk 494-21723.","heeft u, namens uw cliënt, met een beroep op de Wet open overheid (hierna: Woo) verzocht",[7782],[186],[274],verzoek datum,12 augustus 2022,2022-08-12
5499,c: ontvangst verzoek bevestigd,695,711,17 augustus 2022,81,"Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 17 augustus 2022, met referentie Woo/2022/085.",ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8278],[630],[690],ontvangst verzoek bevestigd,17 augustus 2022,2022-08-17
5517,c: besluit datum,156,167,31 MEI 2022,65,2 31 MEI 2022,2,[8349],[154],[155],besluit datum,31 MEI 2022,2022-05-31
5518,c: verzoek datum,189,204,9 december 2021,65,In uw e-mail van 9 december 2021 heeft u een Wob-verzoek ingediend en vraagt u daarbij om de volgende informatie over de periode van 25 februari 2020 tot en met 9 december 2021: - alle in- en uitgaande correspondentie tussen uw bestuursorgaan en de gemeente Zeewolde/provincie Flevoland (en mogelijk ook met andere bestuursorganen) ontvangen inzake de plannen in Zeewolde; - alle overige documenten bij of onder u aanwezig (bijvoorbeeld over hyperscale datacenters in Zeewolde en/of de Wieringermeer en/of andere gebieden in Nederland) waarin op enigerlei wijze gerept wordt over hyperscale datacenters/NOVI/overige relevante zaken inzake hyperscale datacenters.,heeft u een Wob-verzoek ingediend,[7803],[205],[238],verzoek datum,9 december 2021,2021-12-09
5521,c: inwerking treden van Woo,844,854,1 mei 2022,65,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).,is de Wob vervangen door de Wet open overheid (hierna: Woo),[7806],[855],[914],inwerking treden van Woo,1 mei 2022,2022-05-01
5522,c: inwerking treden van Woo,975,980,1 mei,65,"De Woo kent geen overgangsrecht, dit betekent dat vanaf 1 mei de Woo geldt.",Woo geldt,[7807],[984],[993],inwerking treden van Woo,1 mei 2020,2020-05-01
5523,c: verzoek datum,1023,1038,9 december 2021,65,Procesverloop U heeft op 9 december 2021 uw Wob-verzoek ingediend.,heeft Wob-verzoek ingediend,"[10772, 10773]","[1014, 1042]","[1019, 1063]",verzoek datum,9 december 2021,2021-12-09
5524,c: ontvangst verzoek bevestigd,1082,1098,10 december 2021,65,Bij brief van 10 december 2021 is uw verzoek voor ontvangst bevestigd.,is uw verzoek voor ontvangst bevestigd,[7810],[1099],[1137],ontvangst verzoek bevestigd,10 december 2021,2021-12-10
5525,c: overig,1171,1184,12 april 2022,65,Het eerste deelbesluit is op 12 april 2022 genomen.,eerste deelbesluit is genomen,"[7811, 7812]","[1146, 1185]","[1167, 1192]",overig,12 april 2022,2022-04-12
5531,c: besluit datum,55,67,26 juli 2022,57,Datum: 26 juli 2022,Datum,[7823],[48],[53],besluit datum,26 juli 2022,2022-07-26
5533,c: verzoek datum,133,148,1 februari 2022,57,"In uw brief van 1 februari 2022, ontvangen op 1 februari 2022, verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om: - alle individuele rapporten en rapporten van bevindingen met bijlagen en het bijbehorende beeldmateriaal, die in 2021 zijn opgemaakt naar aanleiding van dierenwelzijn-inspecties van Nederlandse stallen met vleeskalveren; - een overzicht van alle dierenwelzijn-inspecties van alle Nederlandse stallen met vleeskalveren in 2021, alsmede het nalevingspercentage bij kalveren in 2021.",verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob),[7824],[180],[254],verzoek datum,1 februari 2022,2022-02-01
5534,c: verzoek ontvangen,163,178,1 februari 2022,57,"In uw brief van 1 februari 2022, ontvangen op 1 februari 2022, verzocht u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om: - alle individuele rapporten en rapporten van bevindingen met bijlagen en het bijbehorende beeldmateriaal, die in 2021 zijn opgemaakt naar aanleiding van dierenwelzijn-inspecties van Nederlandse stallen met vleeskalveren; - een overzicht van alle dierenwelzijn-inspecties van alle Nederlandse stallen met vleeskalveren in 2021, alsmede het nalevingspercentage bij kalveren in 2021.",ontvangen,[7826],[150],[159],verzoek ontvangen,1 februari 2022,2022-02-01
5538,c: ontvangst verzoek bevestigd,712,727,1 februari 2022,57,De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 1 februari 2022 met kenmerk 22-0097.,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[7827],[647],[707],ontvangst verzoek bevestigd,1 februari 2022,2022-02-01
5539,c: beslistermijn verdaagd,768,784,28 februari 2022,57,In de brief van 28 februari 2022 is de beslistermijn met vier weken verdaagd.,is de beslistermijn met vier weken verdaagd,[7828],[785],[828],beslistermijn verdaagd,28 februari 2022,2022-02-28
5540,c: inwerking treden van Woo,836,846,1 mei 2022,57,Op 1 mei 2022 is de Wet open overheid (hierna: Woo) inwerking getreden en is de Wob ingetrokken (artikel 10.1.,is de Wet open overheid (hierna: Woo) inwerking getreden en is de Wob ingetrokken,[7829],[847],[928],inwerking treden van Woo,1 mei 2022,2022-05-01
5545,c: contact,1484,1497,29 maart 2022,57,Deze is via onderstaande link te raadplegen: Inspectieresultaten welzijn vleeskalveren 2021 | Inspectieresultaat | NVWA Zienswijzen Per e-mail van 29 maart 2022 bent u geïnformeerd dat er derde belanghebbenden bij de openbaarmaking van de documenten zijn betrokken en dat deze in de gelegenheid zijn gesteld hierover een zienswijze te geven.,bent u geïnformeerd dat er derde belanghebbenden bij de openbaarmaking van de documenten zijn betrokken en dat deze in de gelegenheid zijn gesteld hierover een zienswijze te geven,[10740],[1498],[1677],contact,29 maart 2022,2022-03-29
5550,c: besluit datum,378,393,11 oktober 2022,59,Uw kenmerk Datum: verzonden op 11 oktober 2022,Datum: verzonden op,[7833],[358],[377],besluit datum,11 oktober 2022,2022-10-11
5551,c: verzoek datum,465,478,29 maart 2022,59,"heer In uw verzoek van 29 maart 2022, door mij op 31 maart 2022 ontvangen, heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken over de positie van een bepaalde onderneming in relatie tot de totstandkoming van het fosfaat reductieplan vanaf 2014 en de totstandkoming en uitvoering van het fosfaatrechtenstelsel en het schrappen/laten verdwijnen van de erkenning van boerderij melk van een bepaalde onderneming.",heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken,[7835],[517],[623],verzoek datum,29 maart 2022,2022-03-29
5552,c: verzoek ontvangen,492,505,31 maart 2022,59,"heer In uw verzoek van 29 maart 2022, door mij op 31 maart 2022 ontvangen, heeft u de Nederlandse Voedsel- en Warenautoriteit (hierna: NVWA) gevraagd om informatie openbaar te maken over de positie van een bepaalde onderneming in relatie tot de totstandkoming van het fosfaat reductieplan vanaf 2014 en de totstandkoming en uitvoering van het fosfaatrechtenstelsel en het schrappen/laten verdwijnen van de erkenning van boerderij melk van een bepaalde onderneming.",ontvangen,[7834],[506],[515],verzoek ontvangen,31 maart 2022,2022-03-31
5555,c: ontvangst verzoek bevestigd,1185,1198,31 maart 2022,59,Op 31 maart 2022 heeft u per aangetekende brief bericht ontvangen dat uw verzoek in goede orde is ontvangen.,heeft u per aangetekende brief bericht ontvangen dat uw verzoek in goede orde is ontvangen,[7836],[1199],[1289],ontvangst verzoek bevestigd,31 maart 2022,2022-03-31
5556,c: overig,1297,1309,22 juni 2022,59,Op 22 juni 2022 heb ik uw ingebrekestelling van 21 juni 2022 ontvangen.,heb ik uw ingebrekestelling van 21 juni 2022 ontvangen,[7837],[1310],[1364],overig,22 juni 2022,2022-06-22
5559,c: overig,1444,1455,8 juli 2022,59,directie strategie divisie Juridische zaken Onze referentie 22-0267 Woo Op 8 juli 2022 heb ik een kopie van uw beroepschrift ontvangen.,heb ik een kopie van uw beroepschrift ontvangen,[7841],[1456],[1503],overig,8 juli 2022,2022-07-08
