id,label,start,end,text,doc_id
4622,DATE+,88,95,22-0359,262
4624,DATE+,166,173,22-0359,262
4625,c: verzoek datum,197,208,11 mei 2022,262
4626,c: ontvangst verzoek bevestigd,393,404,11 mei 2022,262
4627,c: contact,480,491,8 juni 2022,262
4628,c: contact,602,613,1 juli 2022,262
4629,c: inwerking treden van Woo,705,715,1 mei 2022,262
4630,DATE+,855,862,22-0359,262
4631,DATE+,1014,1021,22-0359,262
4632,DATE+,1228,1235,22-0359,262
4633,DATE+,1321,1337,16 februari 2011,262
4634,DATE+,1692,1707,2 februari 2022,262
4635,DATE+,2142,2149,22-0359,262
4636,DATE+,2267,2274,22-0359,262
4638,DATE+,2586,2593,22-0359,262
4639,DATE+,2894,2901,22-0359,262
8213,ID,9,12,262,262
8214,title,25,67,besluit_Woo-verzoek_ongeval_trampoline.pdf,262
8215,c: besluit datum,113,129,23 augustus 2022,262
8216,event,143,165,Besluit op Wob-verzoek,262
8218,event,405,472,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,262
8219,event,492,569,heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt,262
8220,event,614,697,contact gehad met een medewerker van het Team Openbaarmaking en Privacy van de NVWA,262
8222,event,716,776,is echter de Woo inwerking getreden en is de Wob ingetrokken,262
8229,DATE+,2428,2440,1 april 2008,262
8264,event,574,598,Over dit verzoek heeft u,262
8272,event,210,283,heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd,262
4640,c: besluit datum,126,137,13 mei 2022,267
4641,c: verzoek datum,241,256,1 februari 2022,267
4642,DATE+,428,432,2003,267
4643,DATE+,444,448,2022,267
4644,DATE+,652,660,mei 2003,267
4645,DATE+,672,676,2022,267
4646,c: ontvangst verzoek bevestigd,813,828,2 februari 2022,267
4647,c: inwerking treden van Woo,852,862,1 mei 2022,267
4648,DATE+,977,988,13 mei 2022,267
4650,DATE+,1180,1191,13 mei 2022,267
4651,DATE+,1305,1316,13 mei 2022,267
4652,DATE+,1406,1417,13 mei 2022,267
4653,DATE+,1814,1825,13 mei 2022,267
4654,DATE+,2584,2595,13 mei 2022,267
4655,DATE+,2989,3000,13 mei 2022,267
4656,DATE+,3133,3144,13 mei 2022,267
4657,DATE+,3350,3356,9 9551,267
4658,DATE+,3397,3405,1-jan-03,267
4659,DATE+,3415,3427,165 1-feb-03,267
4660,DATE+,3573,3581,1-sep-03,267
4661,DATE+,3683,3691,1-feb-04,267
4662,DATE+,3793,3801,1-jul-04,267
4663,DATE+,3811,3823,200 1-aug-04,267
4664,DATE+,4075,4087,208 1-aug-05,267
4665,DATE+,4298,4306,1-jun-06,267
4666,DATE+,4426,4438,203 1-dec-06,267
4667,DATE+,4778,4790,215 1-apr-08,267
4668,DATE+,4954,4966,230 1-dec-08,267
4669,DATE+,5437,5449,229 1-okt-10,267
4670,DATE+,5947,5955,1-sep-12,267
4671,DATE+,6075,6087,215 1-mrt-13,267
4672,DATE+,6294,6306,225 1-jan-14,267
4673,DATE+,6822,6834,251 1-jan-16,267
4674,DATE+,6958,6966,1-jul-16,267
4675,DATE+,6976,6988,227 1-aug-16,267
4676,DATE+,7046,7054,1-nov-16,267
4677,DATE+,7068,7076,1-dec-16,267
4678,DATE+,7152,7164,227 1-apr-17,267
4679,DATE+,7349,7361,221 1-jan-18,267
4680,DATE+,7599,7607,1-apr-21,267
4681,DATE+,7616,7624,1-mei-21,267
4682,DATE+,7684,7692,1-sep-21,267
4683,DATE+,7735,7743,1-dec-21,267
4684,DATE+,7980,7986,9 9551,267
4685,DATE+,8030,8034,2003,267
4686,DATE+,8079,8083,2003,267
4687,DATE+,8130,8134,2003,267
4688,DATE+,8196,8200,2003,267
4689,DATE+,8231,8237,1 JAAR,267
4690,DATE+,8250,8254,2003,267
4691,DATE+,8285,8291,1 JAAR,267
4692,DATE+,8306,8310,2003,267
4693,DATE+,8339,8347,120 2003,267
4694,DATE+,8371,8379,207 2004,267
4695,DATE+,8424,8428,2004,267
4696,DATE+,8475,8479,2004,267
4697,DATE+,8541,8545,2004,267
4698,DATE+,8576,8582,1 JAAR,267
4699,DATE+,8595,8599,2004,267
4700,DATE+,8630,8636,1 JAAR,267
4701,DATE+,8651,8655,2004,267
4702,DATE+,8684,8692,121 2004,267
4703,DATE+,8716,8724,196 2005,267
4704,DATE+,8769,8773,2005,267
4705,DATE+,8820,8824,2005,267
4706,DATE+,8886,8890,2005,267
4707,DATE+,8921,8927,1 JAAR,267
4708,DATE+,8942,8946,2005,267
4709,DATE+,8979,8983,2005,267
4710,DATE+,9062,9066,2006,267
4711,DATE+,9128,9132,2006,267
4712,DATE+,9163,9169,1 JAAR,267
4713,DATE+,9182,9186,2006,267
4714,DATE+,9217,9223,1 JAAR,267
4715,DATE+,9238,9242,2006,267
4716,DATE+,9275,9279,2006,267
4717,DATE+,9333,9337,2006,267
4718,DATE+,9361,9369,220 2007,267
4719,DATE+,9427,9433,2 2007,267
4720,DATE+,9499,9505,1 2007,267
4721,DATE+,9545,9551,3 2007,267
4722,DATE+,9594,9600,1 2007,267
4723,DATE+,9647,9651,2007,267
4724,DATE+,9711,9718,13 2007,267
4725,DATE+,9749,9755,1 JAAR,267
4726,DATE+,9766,9772,2 2007,267
4727,DATE+,9803,9809,1 JAAR,267
4728,DATE+,9821,9828,28 2007,267
4729,DATE+,9857,9865,109 2007,267
4730,DATE+,9954,9960,2 2008,267
4731,DATE+,10026,10032,2 2008,267
4732,DATE+,10074,10078,2008,267
4733,DATE+,10123,10127,2008,267
4734,DATE+,10174,10178,2008,267
4735,DATE+,10240,10244,2008,267
4736,DATE+,10275,10281,1 JAAR,267
4737,DATE+,10294,10298,2008,267
4738,DATE+,10329,10335,1 JAAR,267
4739,DATE+,10350,10354,2008,267
4740,DATE+,10387,10391,2008,267
4741,DATE+,10445,10449,2008,267
4742,DATE+,10473,10481,218 2009,267
4743,DATE+,10539,10545,1 2009,267
