id,from_id,to_id,type,doc_id
346,4968,5264,date-event,259
347,4971,5265,date-event,259
348,4970,5266,date-event,259
349,4972,5267,date-event,259
350,4975,5271,date-event,269
351,4976,5272,date-event,269
356,4982,5275,date-event,269
730,4980,8271,date-event,269
360,4992,5281,date-event,262
362,4994,5282,date-event,262
363,4995,5283,date-event,262
364,4996,5284,date-event,262
365,4997,5288,date-event,262
366,4997,5287,date-event2,262
367,4998,5289,date-event,262
368,5009,5292,date-event,271
370,5010,5294,date-event2,271
371,5011,5293,date-event,271
372,5013,5297,date-event,271
373,5014,5298,date-event,271
374,5015,5299,date-event,271
375,5016,5300,date-event,271
408,5012,7797,date-event,271
409,5012,7798,date-event2,271
725,5010,8270,date-event,271
376,5028,5304,date-event,267
377,5029,5305,date-event,267
383,5035,5309,date-event,267
721,5034,8265,date-event,267
385,5311,7761,date-event,74
386,5312,7762,date-event,74
410,5310,7799,date-event,74
387,5458,7766,date-event,117
388,5459,7765,date-event,117
389,5462,7767,date-event,117
390,5463,7768,date-event,117
391,5464,7769,date-event,117
392,7772,7773,date-event,2
393,5466,7772,false-date,2
394,5467,7772,false-date,2
395,5468,7774,date-event,2
396,5469,7775,false-date,2
397,5470,7775,false-date,2
398,5471,7776,date-event,2
399,5497,7780,date-event,81
400,5498,7782,date-event,81
401,5499,7783,date-event,81
402,5512,7790,date-event,101
403,5513,7791,date-event,101
404,5514,7792,date-event,101
405,5515,7794,date-event,101
406,5516,7795,date-event,101
407,5511,7796,false-date,101
411,5518,7803,date-event,65
412,5519,7804,false-date,65
413,5520,7804,false-date,65
414,5521,7806,date-event,65
415,5522,7807,date-event,65
416,5523,7808,date-event,65
417,5523,7809,date-event2,65
418,5524,7810,date-event,65
419,5525,7811,date-event,65
420,5525,7812,date-event2,65
421,5526,7816,date-event,50
422,5527,7817,date-event,50
423,5528,7818,date-event,50
424,5529,7819,date-event,50
425,5531,7823,date-event,57
427,5534,7826,date-event,57
428,5533,7824,date-event,57
429,5539,7828,date-event,57
430,5540,7829,date-event,57
431,5545,7830,date-event,57
432,5550,7833,date-event,59
433,5551,7835,date-event,59
434,5552,7834,date-event,59
435,5555,7836,date-event,59
436,5556,7837,date-event,59
437,5559,7841,date-event,59
438,5560,7838,date-event,59
439,5562,7839,date-event,59
440,5563,7840,date-event,59
441,5567,7845,date-event,93
442,5568,7846,date-event,93
443,5570,7849,date-event,93
444,5569,7848,date-event,93
445,5572,7850,date-event,93
446,5576,7854,date-event,122
447,5579,7855,date-event,122
449,5580,7856,false-date,122
450,5581,7856,false-date,122
451,5582,7857,date-event,122
452,5582,7858,date-event2,122
454,5583,7859,date-event,122
455,5599,7865,date-event,102
457,5600,7869,false-date,102
458,5601,7868,date-event,102
459,5602,7867,date-event,102
