,id,label,file
0,0,text,05-04-2022_grote_mars_besluit.pdf
1,1,text,1._Besluit_Granuliet_2020_95_IenW.pdf
2,2,text,1._Besluit_PFAS.pdf
3,3,text,10-08-2022_besluit_woo_mr_buitenwerkingstelling_ter_publ.pdf
4,4,text,15-08-2022_besluit_woo_bezoek_m_aan_isr_en_pg_ter_publ.pdf
5,5,text,191100-wobbesluit-inspectierapporten-dierproeven-2018.pdf
6,6,text,1e-deelbesluit-wob-geschil-versterkingsoperatie.PDF
7,7,text,1e-deelbesluit-wob-verzoek-bijzonder-beheer-mkb.pdf
8,8,text,1e_deelbesluit_op_Woo-verzoek_over_Nationaal_Platform_Leren_en_Ontwikkelen__NPLO_.pdf
9,9,text,1e_deelbesluit_Wob-verzoek_over_veiligheid_Schiphol.pdf
10,10,text,20-0132_en_21-0038_besluit.pdf
11,11,text,200875-wobbesluit-afgeschoten-edelherten-oostvaardersplassen-v2.pdf
12,12,image,2021-1005-besluit.pdf
13,13,text,2021-104_Besluit_Wob-verzoek_De_Vaandeldrager.pdf
14,14,text,2021-105_Besluit_Wob-verzoek__De_Vaandeldrager.pdf
15,15,text,2021-208-besluit.pdf
16,16,text,2021-238+Besluit+op+Wob-verzoek+over+gegevens+paardachtigen.pdf
17,17,text,2021-276-besluit.pdf
18,18,text,2021-281-besluit.pdf
19,19,image,2021-292-besluit.pdf
20,20,text,2021-293-besluit.pdf
21,21,image,2021-296-besluit.pdf
22,22,text,2021-56-besluit.pdf
23,23,text,2021.1002-wobbesluit-ongeval-Kampen-1807800.pdf
24,24,text,2021280-wobbesluit-verstrekte-sbv-subsidies.pdf
25,25,text,2021297-wobbesluit-mesttransporten-plangebied-akkerlanen.pdf
26,26,text,2022-005-besluit-wob-woo-aankoopprocedure-rond-schilderij-vaandeldrager.pdf
27,27,text,2022-014-wob-besluit.pdf
28,28,text,2022-018_Besluit_Wob-Woo_verzoek_NPLO.pdf
29,29,text,2022-053-besluit.pdf
30,30,text,2022-061-woo-besluit.pdf
31,31,image,2022-063-woo-besluit-studentenreisproduct.pdf
32,32,text,2022-076-besluit.pdf
33,33,text,2022-077wobBesluit-Landbouwtellingen-diertellingen-veehouderijen-zeewolde.pdf
34,34,text,2022-079-woo-besluit-over-groeifonds.pdf
35,35,text,2022-18-woo-rapportages-cabinelucht-besluit.pdf
36,36,image,2022-31-woo-besluit-op-wob-verzoek-over-schone-lucht-akkoord.pdf
37,37,text,2022-38-woo-besluit-over-totstandkoming-geluidsnorm-windturbines.pdf
38,38,image,2022-48-documenten.pdf
39,39,text,2022-58-woo-besluit-over-vliegveld-teuge.pdf
40,40,text,2022-66-besluit.pdf
41,41,text,20220715_Deelbesluit_op_Wob-Woo-verzoek_over_granuliet.pdf
42,42,text,21-0052-wob-besluit-afgegeven-erkenningen-wecg-wet-explosieven-voor-civiele-gebruik.pdf
43,43,text,21-0076-besluit.pdf
44,44,text,21-0083-besluit.pdf
45,45,text,21-0200-besluit.pdf
46,46,text,21-0222-en-21-0223-besluit.pdf
47,47,text,21-0493-besluit.pdf
48,48,text,21-0494-besluit.pdf
49,49,image,21-0570-besluit_wob-woo-dieren-behorende-tot-de-familie-van-de-viverridae.pdf
50,50,text,21-0599-besluit.pdf
51,51,text,21-0715_woo_besluit_deelbesluit_2_pluimveeslachterijen_versie_2.pdf
52,52,text,21-0894-Besluit-Wob-Woo-over-nicotinezakjes.pdf
53,53,text,21.0036-wobbesluit-verklaring-geen-bezwaar-windpark-zeewolde.pdf
54,54,text,22-0031-besluit.pdf
55,55,text,22-0032-besluit.pdf
56,56,image,22-0040-besluit.pdf
57,57,text,22-0097-besluit.pdf
58,58,image,22-0150_wobbesluit_toezichtgegevens_speeltuinvereniging.pdf
59,59,text,22-0267-besluit.pdf
60,60,image,22-0350-woo-besluit-over-aankomsttijden-nvwa-inspecteurs-bij-pluimveeslachterij.pdf
61,61,text,22-0461-besluit.pdf
62,62,image,22-0625-besluit.pdf
63,63,text,220927-woo-besluit-afgegeven-verklaring-niet-afgetrokken-premies-en-inhouding-loonheffing.pdf
64,64,text,26-09-2022_besluit_ter_publicatie.pdf
65,65,text,2e_deelbesluit_op_op_Wob-Woo-verzoek_over_plannen_hyperscale_datacenters.pdf
66,66,text,3e-deelbesluit-Wob-verzoek-in-Nederland-gevestigde-defensie-en-veiligheidsgerelateerde-industrie.pdf
67,67,text,4-2020-0848-001-wob-deelbesluit-2.pdf
68,68,image,4.2021.0836.001-wobbesluit-representativiteitstoetsen-verklaringen-metalektro-caos.pdf
69,69,text,4.2021.0905.001-wob-besluit-goed-werkgeverschap-in-de-zorg.pdf
70,70,text,4.2021.1020.001-wob-besluit-uitkomsten-representativiteitstoetsen.pdf
71,71,image,Aanvullend_besluit_op_Wob_verzoek_vuurwerkramp.pdf
72,72,text,Anoniem+besluit+op+Wob-verzoek+inzake+de+Suikertaks.pdf
73,73,image,beslissing-wob-werkinstructie-saldoverklaring.pdf
74,74,text,Beslissing_Wob-verzoek_bedrijfsmiddel.pdf
75,75,text,Besluit+2021-66.pdf
76,76,text,Besluit+geanonimiseerde+getuigenverklaringen+dossier+2007885.pdf
77,77,text,Besluit+op+Wob-verzoek+over+informatie+over+diertellingen+Bredesteeg+37+te+Echteld.pdf
78,78,text,Besluit+op+Wob-Woo-verzoek+over+informatie+diertelgegevens.pdf
79,79,image,Besluit+op+Wob-Woo-verzoek+over+project+Stiath.pdf
80,80,text,Besluit+op+Woo-verzoek+over+de+ouderbijdragen+in+het+basisonderwijs.pdf
81,81,text,Besluit+op+Woo-verzoek+over+vaststelling+fosfaatrechten+en+referentiedatum.pdf
82,82,image,Besluit+Wob-verzoek+I+inzake+ISF+(Internal+Security+Fund).pdf
83,83,text,Besluit+Wob-verzoek+II+inzake+ISF.pdf
84,84,text,Besluit+Wob-verzoek+inzake+ongediertebestrijding+in+PI+Krimpen+a-d+IJssel.pdf
