doc_id,date,label,corrected,start_in_text,end_in_text,start_in_sent,end_in_sent,sentence
1,1 oktober 2020,DATE,False,148,162,39,53,"Betreft Besluit op uw Wob-verzoek d.d. 1 oktober 2020, kernmerk 2020-95."
1,1 oktober 2020,DATE,False,209,223,24,38,Geachte In uw brief van 1 oktober 2020 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over granuliet.
1,11 februari 2020,DATE,False,374,390,39,55,U vraagt om documenten over de periode 11 februari 2020 tot en met 1 oktober 2020.
1,1 oktober 2020,DATE,False,402,416,67,81,U vraagt om documenten over de periode 11 februari 2020 tot en met 1 oktober 2020.
1,1 oktober 2020,DATE,False,515,529,94,108,"Verloop van de procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij e-mail van 1 oktober 2020, kenmerk 2020-95."
1,30 oktober 2020,DATE,False,568,583,17,32,In de e-mail van 30 oktober 2020 is de beslistermijn met vier weken verdaagd.
1,6 januari 2021,DATE,False,649,663,17,31,In de e-mail van 6 januari 2021 is aan u bericht dat de beslistermijn is verstreken en bent u geïnformeerd over de stand van zaken.
1,16 september 2021,DATE,False,962,979,17,34,In de e-mail van 16 september 2021 vraagt u om de stand van zaken.
1,21 september 2021,DATE,False,1018,1035,3,20,Op 21 september 2021 is telefonisch aan u bericht wat de laatste stand van zaken is betreffende de behandeling van uw Wob-verzoek bij de bestuurskern.
1,28 september 2021,DATE,False,1186,1203,17,34,In de e-mail van 28 september 2021 is aan u bericht wat de laatste stand van zaken bij de ILT en RWS is.
1,29 september 2021,DATE,False,1294,1311,17,34,In de e-mail van 29 september 2021 geeft u aan dat de behandeling van het Wob-verzoek al een jaar duurt en dat u hoopt dat de termijnoverschrijding niet nog groter wordt.
1,24 februari 2022,DATE,False,1454,1470,3,19,Op 24 februari 2022 is telefonisch de stand van zaken betreffende uw Wob- verzoek besproken.
1,24 maart 2022,DATE,False,1550,1563,3,16,Op 24 maart 2022 is telefonisch wederom de stand van zaken in de behandeling van uw Wob-verzoek met u besproken.
1,8 april 2022,DATE,False,1680,1692,17,29,"In de e-mail van 8 april 2022 is aan u bericht dat de bestuurskern van het ministerie van Infrastructuur en Waterstaat, ILT en RWS zienswijzen aan derde belanghebbenden hebben gevraagd op documenten die gegevens bevatten die van derden afkomstig zijn of die betrekking hebben op derden."
1,1 mei 2022,DATE,False,1973,1983,20,30,Wettelijk kader Per 1 mei 2022 is de Wet open overheid (hierna Woo) in werking getreden en de Wob ingetrokken.
1,8 april 2022,DATE,False,2082,2094,15,27,Zienswijzen Op 8 april 2022 bent u per e-mail geïnformeerd dat er documenten afkomstig van derden-belanghebbenden zijn aangetroffen en zij in de gelegenheid zijn gesteld hierover hun zienswijze te geven.
2,13 november 2019,DATE,False,223,239,176,192,"l@minienw.nl@minie nw.nl Datum 7 juli 2022 Betreft besluit 2020-02 PFAS Geachte Naar aanleiding van de totstandkoming van het ""maatregelenpakket voor de PFAS problematiek"" van 13 november 2019 hebben verschillende journalisten met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht over PFAS."
2,2 december 2019 en 4 maart 2020,DATE,combined,439,470,64,95,"Het betreft in totaal drie verzoeken, die zijn ontvangen tussen 2 december 2019 en 4 maart 2020."
2,januari 2019,DATE,False,676,688,201,213,Eén van de verzoeken heeft betrekking op alle documenten/communicatie die betrekking hebben op het tijdelijke handelingskader PFAS en de aanpassing van het tijdelijk handelingskader PFAS in de periode januari 2019 tot en met 2 december 2019.
2,2 december 2019,DATE,False,700,715,225,240,Eén van de verzoeken heeft betrekking op alle documenten/communicatie die betrekking hebben op het tijdelijke handelingskader PFAS en de aanpassing van het tijdelijk handelingskader PFAS in de periode januari 2019 tot en met 2 december 2019.
2,8 juli 2020,DATE,False,723,734,3,14,Op 8 juli 2020 heb ik reeds een eerste deelbesluit genomen met daarin de formele documenten.
2,31 januari 2020 en 11 maart 2020,DATE,combined,835,867,19,51,"Op respectievelijk 31 januari 2020 en 11 maart 2020 is aan alle verzoekers een behandelvoorstel gedaan ten behoeve van afdoening met deelbesluiten, waarbij de verschillende verzoeken kunnen meelopen in de afhandeling van de andere verzoeken over hetzelfde onderwerp."
2,8 juli 2020,DATE,False,1089,1100,3,14,"Op 8 juli 2020 heeft u het eerste deelbesluit ontvangen, dat ziet op de formele documenten."
2,7 december 2020,DATE,False,1184,1199,3,18,Op 7 december 2020 is aan alle verzoekers een vervolgvoorstel gedaan.
2,7 december 2020,DATE,False,1383,1398,129,144,"Per e-mail van 7 december 2020, respectievelijk 8 december 2020, zijn alle verzoekers akkoord gegaan met het vervolgvoorstel van 7 december 2020."
2,1 mei 2022,DATE,False,1409,1419,6,16,Vanaf 1 mei 2022 is de Wob vervangen door de Wet open overheid (hierna: Woo).
2,1 mei 2022,DATE,False,1507,1517,23,33,Dit betekent dat vanaf 1 mei 2022 de Woo geldt.
