doc_id,right_label,start,end,parts,sentence,start_parts,end_parts
25.0,1 april 2022,142.0,154.0,"['1 april', '2022']","Wob-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl Datum 1 april 2022 Onze referentie Betreft Besluit op uw Wob-verzoek WOB/2021/297 Geachte , In uw brief van 14 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie over geregistreerd mesttransport naar het perceel op plangebied Akkerlanen (gelegen tussen de Akkerlaan, de Vijverlaan en het Postpad in de gemeente Waalwijk, welk perceel volgens de basisregistratie als grasland is aangemerkt voor de periode van 2010 t/m 2020.","[142, 150]","[149, 154]"
87.0,9 en 10 maart 2022,1150.0,1163.0,['10 maart 2022'],Op 9 en 10 maart 2022 hebben de belanghebbenden hun zienswijze naar voren gebracht.,[1150],[1163]
7.0,dinsdag 12 januari 2021,238.0,261.0,"['dinsdag', '12 januari 2021']",", In uw e-mail van dinsdag 12 januari 2021, ontvangen op dezelfde datum, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om relevante documenten (onder meer notulen, beleidsstukken), die binnen het departement ten grondslag hebben gelegen aan discussie, onderzoek, antwoorden en besluitvorming inzake Bijzonder Beheer voor MKB bij banken in de periode 2013-2019.","[238, 246]","[245, 261]"
7.0,25 maart 2022,94.0,102.0,['25 maart'],Bijlagen Datum 25 maart 2022 A- Relevante Wob-artikelen Betreft Deelbesluit 1 op uw Wob-verzoek inzake MKB bijzonder B- Inventarislijst,[94],[102]
37.0,20 juni 2022,171.0,178.0,['20 juni'],Den Haag 2500 EX Contactpersoon Woo-verzoeken-artikel4.1@minienw.nl Datum 20 juni 2022 Kenmerk,[171],[178]
42.0,20-JAN 2022,176.0,180.0,['2022'],Contactpersoon 20-JAN 2022,[176],[180]
40.0,4 oktober 2022,75.0,84.0,['4 oktober'],IENW/BSK-2022/222343 Datum 4 oktober 2022,[75],[84]
80.0,7 en 9 september 2022,634.0,650.0,['9 september 2022'],Over uw verzoek is op 7 en 9 september 2022 contact geweest per e-mail.,[634],[650]
80.0,7 februari 2018,1174.0,1184.0,['7 februari'],Deze fundering van de verplichte ouderbijdrage is later ook bevestigd in een rechterlijke uitspraak van 7 februari 2018.1 Plaatsing op Internet Dit besluit en de geanonimiseerde nota worden op www.rijksoverheid.nl gepubliceerd.,[1174],[1184]
2.0,2 december 2019 en 4 maart 2020,439.0,470.0,"['2 december 2019', '4 maart 2020']","Het betreft in totaal drie verzoeken, die zijn ontvangen tussen 2 december 2019 en 4 maart 2020.","[439, 458]","[454, 470]"
2.0,"7 december 2020, respectievelijk 8 december 2020",1269.0,1317.0,"['7 december 2020', '8 december 2020']","Per e-mail van 7 december 2020, respectievelijk 8 december 2020, zijn alle verzoekers akkoord gegaan met het vervolgvoorstel van 7 december 2020.","[1269, 1302]","[1284, 1317]"
2.0,31 januari 2020 en 11 maart 2020,835.0,867.0,"['31 januari 2020', '11 maart 2020']","Op respectievelijk 31 januari 2020 en 11 maart 2020 is aan alle verzoekers een behandelvoorstel gedaan ten behoeve van afdoening met deelbesluiten, waarbij de verschillende verzoeken kunnen meelopen in de afhandeling van de andere verzoeken over hetzelfde onderwerp.","[835, 854]","[850, 867]"
83.0,8 februari jl,493.0,503.0,['8 februari'],Op 8 februari jl heeft u van mij een besluit op uw Wob-verzoek van 17 augustus 2020 ontvangen.,[493],[503]
10.0,12 februari 2020 respectievelijk 19 januari 2021,291.0,339.0,"['12 februari 2020', '19 januari 2021']",", In uw e-mails van 12 februari 2020 en 19 januari 2021, ontvangen op 12 februari 2020 respectievelijk 19 januari 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over dierenwelzijnsinspecties bij Nederlands stallen met vleeskalveren.","[291, 324]","[307, 339]"
10.0,5 maart 2020 en 15 februari 2021,787.0,819.0,"['5 maart 2020', '15 februari 2021']","De ontvangst van uw verzoek is schriftelijk bevestigd bij brieven van 5 maart 2020 en 15 februari 2021, met referenties 20-0132 en 21-0038.","[787, 803]","[799, 819]"
10.0,12 februari 2020 en 19 januari 2021,241.0,276.0,"['12 februari 2020', '19 januari 2021']",", In uw e-mails van 12 februari 2020 en 19 januari 2021, ontvangen op 12 februari 2020 respectievelijk 19 januari 2021, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) informatie verzocht over dierenwelzijnsinspecties bij Nederlands stallen met vleeskalveren.","[241, 261]","[257, 276]"
1.0,"maanden maart, juni en juli 2021",773.0,805.0,"['maanden maart', 'juli 2021']","In de maanden maart, juni en juli 2021 zijn er meerdere telefonische contactmomenten met u geweest over de stand van zaken en voortgang van de behandeling van uw Wob-verzoek.","[773, 796]","[786, 805]"
41.0,"maanden maart, juni en juli",1474.0,1487.0,['maanden maart'],"In de maanden maart, juni en juli zijn er meerdere telefonische contactmomenten met u geweest over de stand van zaken en voortgang van de behandeling van uw Wob-verzoek.",[1474],[1487]
41.0,periode vanaf 16 september 2021,1661.0,1678.0,['16 september 2021'],"In de periode vanaf 16 september 2021 bent u door een medewerker van het kerndepartement zowel telefonisch als via e-mail meerdere malen op de hoogte gehouden van de stand van zaken omtrent de behandeling van uw verzoek bij het kerndepartement, Rijkswaterstaat en de ILT.",[1661],[1678]
6.0,17 december jl en op 25 januari jl,1588.0,1619.0,"['17 december', '25 januari']",Op 17 december jl en op 25 januari jl heeft u met de heer Hindriks gesproken over de voortgang van de afhandeling van uw verzoek.,"[1588, 1609]","[1599, 1619]"
6.0,18 januari jl en op 14 februari jl,1733.0,1764.0,"['18 januari', '14 februari']",Ook heeft u op 18 januari jl en op 14 februari jl per e-mail een update over de voortgang ontvangen.,"[1733, 1753]","[1743, 1764]"
6.0,10 december jl,1190.0,1201.0,['10 december'],Deze afspraak is bevestigd per e-mail op 10 december jl.,[1190],[1201]
6.0,donderdag 25 november jl,932.0,953.0,['donderdag 25 november'],"U heeft op donderdag 25 november jl., gesproken met de heer Hans Hindriks van het ministerie van Economische Zaken en Klimaat (hierna: ministerie van EZK) over de reikwijdte van uw verzoek en de voortgang van de afhandeling.",[932],[953]
100.0,2 februari jl,1238.0,1248.0,['2 februari'],"Op 2 februari jl heeft u een ingebrekestelling ingediend, waarop 10.2.e 8 februari jl per e-mail op heeft gereageerd.",[1238],[1248]
