id,label,start,end,text,doc_id,sentence,event,event_ids,start_event,end_event
4975,c: besluit datum,128,140,30 juni 2022,269,"Wob medewerker T 088 042 42 42 KPEU Wob@rvo.nl D atum 30 juni 2022 Onze referentie Wob/2022/071 Betreft Besluit op uw Wob-verzoek Geachte heer, mevrouw In uw brief van 11 april 2022, heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht over de gecombineerde opgaven van 2013, 2014 en 2017 van , Blessumerpaed 17-A te Boksum.",D atum,[5271],[121],[127]
4976,c: verzoek datum,242,255,11 april 2022,269,"Wob medewerker T 088 042 42 42 KPEU Wob@rvo.nl D atum 30 juni 2022 Onze referentie Wob/2022/071 Betreft Besluit op uw Wob-verzoek Geachte heer, mevrouw In uw brief van 11 april 2022, heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht over de gecombineerde opgaven van 2013, 2014 en 2017 van , Blessumerpaed 17-A te Boksum.","heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht",[5272],[257],[350]
4980,c: ontvangst verzoek bevestigd,521,534,15 april 2022,269,Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 15 april 2022.,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8271],[456],[516]
4982,c: inwerking treden van Woo,636,646,1 mei 2022,269,Wettelijk kader Op 1 mei 2022 is de Wob ingetrokken en vervangen door de Wet open overheid (Woo).,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[5275],[646],[713]
4992,c: besluit datum,113,129,23 augustus 2022,262,Verzonden op 23 augustus 2022,Verzonden op,[5281],[100],[112]
4994,c: verzoek datum,197,208,11 mei 2022,262,"In uw verzoek van 11 mei 2022, heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken over het toezicht naar aanleiding van een ongeval met een trampoline.",heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken,[5282],[210],[316]
4995,c: ontvangst verzoek bevestigd,393,404,11 mei 2022,262,Op 11 mei 2022 heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen.,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,[5283],[405],[472]
4996,c: contact,480,491,8 juni 2022,262,Op 8 juni 2022 heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt.,heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt,[5284],[492],[569]
4997,c: contact,602,613,1 juli 2022,262,Over dit verzoek heeft u op 1 juli 2022 contact gehad met een medewerker van het Team Openbaarmaking en Privacy van de NVWA.,heeft u contact gehad,"[10718, 5287]","[591, 614]","[598, 627]"
4998,c: inwerking treden van Woo,705,715,1 mei 2022,262,Op 1 mei 2022 is echter de Woo inwerking getreden en is de Wob ingetrokken (artikel 10.1.,is echter de Woo inwerking getreden en is de Wob ingetrokken,[5289],[716],[776]
5009,c: besluit datum,131,142,8 juli 2022,271,Kenmerk BZ-2022.9762 Datum 8 juli 2022,Datum,[5292],[125],[130]
5010,c: verzoek datum,164,176,5 april 2022,271,"heer U heeft op 5 april 2022, door mij ontvangen op 6 april 2022, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht.",heeft met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht,"[8270, 5294]","[155, 214]","[160, 300]"
5011,c: verzoek ontvangen,200,212,6 april 2022,271,"heer U heeft op 5 april 2022, door mij ontvangen op 6 april 2022, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) om informatie verzocht.",ontvangen,[5293],[187],[196]
5012,c: overig,377,389,2 maart 2022,271,"Uw verzoek heeft betrekking op de verordening die de Raad van Europa op 2 maart 2022 publiceerde op grond waarvan het, kort gezegd, dienstverleners wordt verboden om uitzendingen van RT en Sputnik te faciliteren.",verordening die de Raad van Europa publiceerde,"[7797, 7798]","[339, 390]","[373, 401]"
5013,c: ontvangst verzoek bevestigd,583,593,4 mei 2022,271,De ontvangst van uw verzoek is per e-mailbericht bevestigd op 4 mei 2022.,ontvangst van uw verzoek is per e-mailbericht bevestigd,[5297],[524],[579]
5014,c: overig,601,613,16 juni 2022,271,Op 16 juni 2022 heeft u mij in gebreke gesteld nu u nog geen besluit heeft ontvangen en de beslistermijn is verstreken.,heeft u mij in gebreke gesteld nu u nog geen besluit heeft ontvangen en de beslistermijn is verstreken,[5298],[614],[716]
5015,c: inwerking treden van Woo,727,737,1 mei 2022,271,Vanaf 1 mei 2022 is de Wob vervangen door de Woo.,is de Wob vervangen door de Woo,[5299],[738],[769]
5016,c: inwerking treden van Woo,830,835,1 mei,271,"De Woo kent geen overgangsrecht, dit betekent dat vanaf 1 mei de Woo geldt.",Woo geldt,[5300],[839],[848]
