doc_id,right_label,start,end,parts,sentence,start_parts,end_parts
25.0,1 april 2022,142.0,154.0,"['1 april', '2022']","Wob-medewerker T 088 042 42 42 KPEU_Wob@rvo.nl Datum 1 april 2022 Onze referentie Betreft Besluit op uw Wob-verzoek WOB/2021/297 Geachte , In uw brief van 14 december 2021 heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht, namens , om informatie over geregistreerd mesttransport naar het perceel op plangebied Akkerlanen (gelegen tussen de Akkerlaan, de Vijverlaan en het Postpad in de gemeente Waalwijk, welk perceel volgens de basisregistratie als grasland is aangemerkt voor de periode van 2010 t/m 2020.","[142, 150]","[149, 154]"
87.0,9 en 10 maart 2022,1150.0,1163.0,['10 maart 2022'],Op 9 en 10 maart 2022 hebben de belanghebbenden hun zienswijze naar voren gebracht.,[1150],[1163]
7.0,dinsdag 12 januari 2021,238.0,261.0,"['dinsdag', '12 januari 2021']",", In uw e-mail van dinsdag 12 januari 2021, ontvangen op dezelfde datum, heeft u met een beroep op de Wet openbaarheid van bestuur (hierna: Wob) verzocht om relevante documenten (onder meer notulen, beleidsstukken), die binnen het departement ten grondslag hebben gelegen aan discussie, onderzoek, antwoorden en besluitvorming inzake Bijzonder Beheer voor MKB bij banken in de periode 2013-2019.","[238, 246]","[245, 261]"
7.0,25 maart 2022,94.0,102.0,['25 maart'],Bijlagen Datum 25 maart 2022 A- Relevante Wob-artikelen Betreft Deelbesluit 1 op uw Wob-verzoek inzake MKB bijzonder B- Inventarislijst,[94],[102]
42.0,20-JAN 2022,176.0,180.0,['2022'],Contactpersoon 20-JAN 2022,[176],[180]
2.0,2 december 2019 en 4 maart 2020,439.0,470.0,"['2 december 2019', '4 maart 2020']","Het betreft in totaal drie verzoeken, die zijn ontvangen tussen 2 december 2019 en 4 maart 2020.","[439, 458]","[454, 470]"
2.0,"7 december 2020, respectievelijk 8 december 2020",1269.0,1317.0,"['7 december 2020', '8 december 2020']","Per e-mail van 7 december 2020, respectievelijk 8 december 2020, zijn alle verzoekers akkoord gegaan met het vervolgvoorstel van 7 december 2020.","[1269, 1302]","[1284, 1317]"
2.0,31 januari 2020 en 11 maart 2020,835.0,867.0,"['31 januari 2020', '11 maart 2020']","Op respectievelijk 31 januari 2020 en 11 maart 2020 is aan alle verzoekers een behandelvoorstel gedaan ten behoeve van afdoening met deelbesluiten, waarbij de verschillende verzoeken kunnen meelopen in de afhandeling van de andere verzoeken over hetzelfde onderwerp.","[835, 854]","[850, 867]"
83.0,8 februari jl,493.0,503.0,['8 februari'],Op 8 februari jl heeft u van mij een besluit op uw Wob-verzoek van 17 augustus 2020 ontvangen.,[493],[503]
1.0,"maanden maart, juni en juli 2021",773.0,805.0,"['maanden maart', 'juli 2021']","In de maanden maart, juni en juli 2021 zijn er meerdere telefonische contactmomenten met u geweest over de stand van zaken en voortgang van de behandeling van uw Wob-verzoek.","[773, 796]","[786, 805]"
100.0,2 februari jl,1238.0,1248.0,['2 februari'],"Op 2 februari jl heeft u een ingebrekestelling ingediend, waarop 10.2.e 8 februari jl per e-mail op heeft gereageerd.",[1238],[1248]
100.0,8 februari jl,1307.0,1317.0,['8 februari'],"Op 2 februari jl heeft u een ingebrekestelling ingediend, waarop 10.2.e 8 februari jl per e-mail op heeft gereageerd.",[1307],[1317]
141.0,1 september 2022,201.0,212.0,['1 september'],Datum 1 september 2022 O ns kenmerk,[201],[212]
142.0,8 september 2022,212.0,228.0,"['8 september', '2022']",Datum 8 september 2022 O ns kenmerk,"[212, 224]","[223, 228]"
129.0,21 juli 2022 en bij e-mail van 21 juli 2022,1499.0,1542.0,"['21 juli 2022', '21 juli 2022']",Dit is in het telefoongesprek van 21 juli 2022 en bij e-mail van 21 juli 2022 met u besproken.,"[1499, 1530]","[1511, 1542]"
149.0,16 november 2021 en 19 november 2021,753.0,789.0,"['16 november 2021', '19 november 2021']","Over dit verzoek hebt u op 16 november 2021 en 19 november 2021 telefonisch contact gehad met een medewerker van mijn ministerie, te weten 10.2.e .","[753, 773]","[769, 789]"
