id,label,start,end,text,doc_id,sentence,event,event_ids,start_event,end_event,class,complete_date,ISO_date
4975,c: besluit datum,128,140,30 juni 2022,269,"Wob medewerker T 088 042 42 42 KPEU Wob@rvo.nl D atum 30 juni 2022 Onze referentie Wob/2022/071 Betreft Besluit op uw Wob-verzoek Geachte heer, mevrouw In uw brief van 11 april 2022, heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht over de gecombineerde opgaven van 2013, 2014 en 2017 van , Blessumerpaed 17-A te Boksum.",D atum,[5271],[121],[127],besluit datum,30 juni 2022,2022-06-30
4976,c: verzoek datum,242,255,11 april 2022,269,"Wob medewerker T 088 042 42 42 KPEU Wob@rvo.nl D atum 30 juni 2022 Onze referentie Wob/2022/071 Betreft Besluit op uw Wob-verzoek Geachte heer, mevrouw In uw brief van 11 april 2022, heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht over de gecombineerde opgaven van 2013, 2014 en 2017 van , Blessumerpaed 17-A te Boksum.","heeft u, met een beroep op de Wet openbaarheid van bestuur (hierna: Wob), informatie verzocht",[5272],[257],[350],verzoek datum,11 april 2022,2022-04-11
4980,c: ontvangst verzoek bevestigd,521,534,15 april 2022,269,Procedure De ontvangst van uw verzoek is schriftelijk bevestigd bij brief van 15 april 2022.,ontvangst van uw verzoek is schriftelijk bevestigd bij brief,[8271],[456],[516],ontvangst verzoek bevestigd,15 april 2022,2022-04-15
4982,c: inwerking treden van Woo,636,646,1 mei 2022,269,Wettelijk kader Op 1 mei 2022 is de Wob ingetrokken en vervangen door de Wet open overheid (Woo).,is de Wob ingetrokken en vervangen door de Wet open overheid (Woo),[5275],[646],[713],inwerking treden van Woo,1 mei 2022,2022-05-01
4992,c: besluit datum,113,129,23 augustus 2022,262,Verzonden op 23 augustus 2022,Verzonden op,[5281],[100],[112],besluit datum,23 augustus 2022,2022-08-23
4994,c: verzoek datum,197,208,11 mei 2022,262,"In uw verzoek van 11 mei 2022, heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken over het toezicht naar aanleiding van een ongeval met een trampoline.",heeft u de Nederlandse Voedsel en Warenautoriteit (hierna: NVWA) gevraagd om het rapport openbaar te maken,[5282],[210],[316],verzoek datum,11 mei 2022,2022-05-11
4995,c: ontvangst verzoek bevestigd,393,404,11 mei 2022,262,Op 11 mei 2022 heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen.,heeft u bericht ontvangen dat uw verzoek in goede orde is ontvangen,[5283],[405],[472],ontvangst verzoek bevestigd,11 mei 2022,2022-05-11
4996,c: contact,480,491,8 juni 2022,262,Op 8 juni 2022 heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt.,heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt,[5284],[492],[569],contact,8 juni 2022,2022-06-08
4997,c: contact,602,613,1 juli 2022,262,Over dit verzoek heeft u op 1 juli 2022 contact gehad met een medewerker van het Team Openbaarmaking en Privacy van de NVWA.,heeft u contact gehad,"[10718, 5287]","[591, 614]","[598, 627]",contact,1 juli 2022,2022-07-01
4998,c: inwerking treden van Woo,705,715,1 mei 2022,262,Op 1 mei 2022 is echter de Woo inwerking getreden en is de Wob ingetrokken (artikel 10.1.,is echter de Woo inwerking getreden en is de Wob ingetrokken,[5289],[716],[776],inwerking treden van Woo,1 mei 2022,2022-05-01
